country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Jamaica,10.3495688391272,,5.22151985159613,6047.2164436428,,90.7408676147461,5.35435009002686,91.0,,,4.083,70.629,2827377.0
Italy,8.20128991161718,36.5074016512148,3.98589744251659,35068.8359738449,,,,94.0,9.0,,8.069,82.9,58940425.0
Israel,4.39359665912654,31.7283799087485,6.83288663572093,54930.9388075096,,,6.46000003814697,99.0,,,3.695,82.7,9557500.0
Ireland,7.82945736434105,137.087781434496,9.43302211023355,103983.29133582,,,,90.0,6.07060957,,4.479,83.0560975609756,5127170.0
Iraq,4.99476596381044,,7.63981140220797,6441.91736451813,,,,88.0,,,15.588,71.336,44496122.0
"Iran, Islamic Rep.",43.4884641742179,26.8158865548081,3.77663140152906,4668.45744305826,88.9599990844727,,2.6699800491333,99.0,,34.8,9.085,74.556,88550570.0
Indonesia,4.20946383402165,24.5037442007268,5.30741934775764,4787.91236404903,,100.644996643066,2.42012596130371,84.0,,35.5,3.462,68.25,275501339.0
India,6.69903414079852,23.2004878372124,6.98703932576051,2366.30960899931,76.3227767944336,111.083999633789,,95.0,,,4.822,67.744,1417173173.0
Iceland,8.3087551155892,45.7799740631457,8.88130774528271,75135.0916136358,,,7.13966512680054,91.0,8.57,,3.789,82.1707317073171,382003.0
Hungary,14.6081439492433,90.4153697462384,4.58340767295068,18355.8278072065,,,,99.0,,,3.609,76.0170731707317,9643048.0
"Hong Kong SAR, China",1.88136707196853,194.477448293048,-3.68075292201146,48828.1212454445,,101.081039428711,3.72912001609802,,,,4.318,83.6609756097561,7346100.0
Honduras,9.08963911525025,42.4391817948962,4.14356194013767,3012.21734086324,,,4.44199991226196,77.0,,,7.037,70.728,10432860.0
Haiti,33.98393194707,7.23876011586942,-1.68198396897978,1748.25713539751,,,1.02699995040894,65.0,,,14.719,63.728,11584996.0
